It's OK,1
A dramatic action comedy about a bunch of doctors working the night shift.,0
One thing ruins this show......,1
Great acting above all...,0
Great Sci fi FUN! Please bring back for season 4!!!!!!!!!!!!!!!!!!!!!!!!!!!,0
"Amazing show, must-watch",1
Pop Culture Thoughts,0
Best way to end the day.,0
Great!,0
Charming. Definitely not for everyone.,1
Emotional rollercoaster,1
great show,0
Great Show,0
Absolutely positively horrendous......,0
Love this show ---perfect outrageous silliness after a long day,0
One of the worst pilots.,0
Terrible...so far,0
What a colossal disappointment,0
Feminist male bashing at it's absolute BEST.,1
Lately disappointing,0
Mumbler,0
In a word: Terrible,0
Refreshing and Fun,0
Not terrible.,0
Shockingly bad,1
Great acting and writing,1
Blows your mind!,1
SO FUNNY YET SO GOOD !!!!,0
Great stuff !,0
Bring it back PLEASE,0
another bad series,1
Experimental and Great for HBO,1
Awesome writing!,1
Clarke Peters credited for only 1 episode ????!!!,0
BELTALOWDA!,0
Attempts to Capture Entourage's Cool but Miserably Fails.,0
Very Solid,1
Terminating Chance the dumbest decision in film history,0
for people with nothing between their ears,1
reasonable series to waste a few hours on,0
Disappointing,1
Brilliant in every way!,0
I need a Doctor - this show is so good its killing me.,0
A typical drug drama that may get better,1
I liked it.,0
This show is loaded with liberal propaganda!,0
Palm to face,0
More goddammit MORE!,1
Good start to what has the ingredients to become a winning series.,0
This show deserves a new network!,0
I like this show,1
"definitely worth a watch, but be prepared to be frustrated",1
Surprisingly cute,0
The Clone Wars,0
Exceptional Series Worth Continuing,0
ANW is becoming way to soft,1
Season 2 please!!,0
The only show that gets me into politics,1
High school drama that wants to be a Sci-fi show,1
Started amazing and went down the drain very quickly.,0
Elba is great! Scenarios are way too contrived and full of holes,1
you just gotta love it!!!,0
Racial Slur,0
Fresh show with potential,0
Grey Anatomy season 14 is so awful boring this season I have stop watching it for good,1
The Fosters,0
Really good if somewhat very dark.,0
Almost Excellent,0
Nothing like season 1,1
I love this show!!,0
I don't know why this is on IMDb,1
GENIUS,1
Even better than the Daily Show,1
"Chelsea if your not better than this, then move on.",0
Review after 12 seasons : show started OK to become the most unbelievably bad series ever,1
Bad writing can wreck a good idea,1
An abomination,1
Disappointed by the racism - spoiler alert,1
How can SO much boorishly inane nonsense be stuffed into thirty minutes?,0
Awesome show!,0
It's just so bad,0
Pretentious and boring,1
This show is exciting,1
Very good tv show,0
'Superior Donuts' ~ a feel good half-hour,0
Love this show so much,0
Loved it,1
"BIll Maher, Funny, Conservative Democrat",1
EPIC RETURN!,1
After many failed attempts and partial successes...,1
An intriguing show with an exceptional main character,0
Warehouse 13 ripoff,0
A Unique Comedy,1
I hope there is more to come,1
Watched because it's something I'd never watch...,1
"Well made, but psychologically shallow, not very involving characters",1
It's Odd--I name my reviews for the main theme of the episode.,1
"Popular yes, but that doesn't make it good . . .",1
Loved it,1
It's getting better,1
"Everything Sucks - no it doesn't, atleast not this amazing show!",0
"Oh MY God, I think I found my new favourite show!!!",1
Definitely not a cop show,0
"Horrible, absolutely horrible... This series is just as bad as 'Legend of the Seeker'...",0
Waste of time,1
Refreshing and Intelligent,1
Best show,1
It was good,0
Is this supposed to be a series about female empowerment? 'Cause it's not,0
Be confused,0
I'm really trying to love this show,0
This is entertainment and not a history lesson and never claims to be,0
Great show,0
Grows on you,0
Not good,1
"Great show, but people need to realize that this was years in the making, not as a result of events in Charlottesville",1
It's impressive,0
Brilliant!,1
A midwest 7 is an LA 2,1
Uhhg,1
Best show ever,1
Awesomely Awful,0
American nonsense,0
Librarian is a great show,0
We need to save Lucifer,0
Another Hit For HBO,1
"Great show, Amazon sucks with release dates!",1
Marvelous - Want More!,1
We loved this.,0
Rooted to my chair for 3 days.,0
Instantly Addicted!,0
Lovely,1
(Season 1): Slightly melancholic and darkly funny buddy comedy which turns into a crazy - and insanely violent - thrill ride.,0
fell in love with this show and all the girls in it!,1
Awful and unbelievable!,0
"Okay, we get it. You're progressive.",0
Need to call 911 and report the scriptwriters,1
The Best,1
100% LIBERAL BIAS,1
Concept still iffy,1
Loved every moment and damn for a good laugh,1
Well Crap....,1
No Friends in the Streets,1
Didn't make it five minutes,0
Every episode leaves you wanting more!!!,0
Awesome!,1
Amazing,0
I Honestly Don't Understand,1
Haters Back Off!,0
"Wanted to like it, but awful . . .",1
The best cooking show,0
Ah! A brilliant surprise! Just the sort of show I never knew I needed :D,0
Wow,0
Great to see use of subtle humor,1
"Thought I'd like this show, and I enjoyed it, with some reservations.",1
Very enjoyable spin off that takes a little while to hot up.,0
"Dark, tense, funny and awesome.",0
I have autism and this show is so touching!,1
Cancelled?,0
Over-the-top slop,1
s1e2 starts the decline in the show,0
Disappointing so far,0
Offensive,0
An excellent adaptation of the books for all us Outlander fans!,1
So much wrong with this,0
Good start,1
Yikes!!!,1
Great potential but Complete waste of time,0
"Almost exactly like the movies, nothing more and nothing less",0
